Date,12M
2022-03-11,4.62
2022-03-10,4.61
2022-03-09,4.68
2022-03-08,4.65
2022-03-04,4.6
2022-03-03,4.61
2022-03-02,4.6
2022-02-25,4.49
2022-02-24,4.51
2022-02-23,4.51
2022-02-22,4.49
2022-02-18,4.41
2022-02-17,4.47
2022-02-16,4.47
2022-02-15,4.43
2022-02-11,4.45
2022-02-10,4.48
2022-02-09,4.65
2022-02-04,4.6
2022-02-03,4.6
2022-02-02,4.63
2022-02-01,4.51
2022-01-28,4.5
2022-01-27,4.49
2022-01-25,4.5
2022-01-21,4.47
2022-01-20,4.41
2022-01-19,4.44
2022-01-18,4.38
2022-01-14,4.35
2022-01-13,4.36
2022-01-12,4.37
2022-01-11,4.34
2022-01-07,4.32
2022-01-06,4.31
2022-01-05,4.31
2021-12-31,4.21
2021-12-30,4.22
2021-12-29,4.25
2021-12-28,4.23
2021-12-24,4.21
2021-12-23,4.24
2021-12-22,4.24
2021-12-21,4.18
2021-12-17,4.16
2021-12-16,4.16
2021-12-15,4.16
2021-12-14,4.14
2021-12-10,4.14
2021-12-09,4.13
2021-12-08,4.12
2021-12-07,4.14
2021-12-03,4.13
2021-12-02,4.13
2021-12-01,4.13
2021-11-30,4.1
2021-11-26,4.11
2021-11-25,4.12
2021-11-24,4.12
2021-11-23,4.16
2021-11-18,4.06
2021-11-17,4.09
2021-11-16,4.05
2021-11-15,4.04
2021-11-12,4.03
2021-11-11,4.05
2021-11-10,4.05
2021-11-09,4.04
2021-11-08,4.02
2021-11-03,4.05
2021-11-02,4.07
2021-11-01,4.03
2021-10-29,4.02
2021-10-28,4.02
2021-10-27,4.03
2021-10-26,3.97
2021-10-25,3.95
2021-10-22,3.92
2021-10-21,3.92
2021-10-20,3.93
2021-10-18,3.87
2021-10-14,3.86
2021-10-13,3.87
2021-10-12,3.83
2021-10-11,3.83
2021-10-08,3.84
2021-10-07,3.86
2021-10-06,3.83
2021-10-05,3.74
2021-10-04,3.7
2021-10-01,3.75
2021-09-30,3.75
2021-10-21,3.92
2021-10-20,3.93
2021-10-18,3.87
