Date,lmex
2022-02-25,4840.4
2022-02-18,4812.5
2022-02-11,4721.4
2022-02-04,4691.4
2022-01-28,4600.6
2022-01-21,4741.9
2022-01-14,4588.6
2022-01-07,4524.0
2021-12-31,4502.0
2021-12-24,4466.0
2021-12-17,4366.3
2021-12-10,4336.3
2021-12-03,4314.9
2021-11-26,4329.2
2021-11-19,4398.3
2021-11-12,4415.8
2021-11-05,4320.7
2021-10-29,4394.2
2021-10-22,4496.9
2021-10-15,4762.8
2021-10-08,4365.6
2021-10-01,4209.2
2021-09-24,4342.4
2021-09-17,4301.9
2021-09-10,4429.1
2021-09-03,4269.0
2021-08-27,4233.1
2021-08-20,4077.0
2021-08-13,4281.1
2021-08-06,4230.3
2021-07-30,4320.6
2021-07-23,4225.1
2021-07-16,4183.5
2021-07-09,4187.0
2021-07-02,4163.3
2021-06-25,4137.0
2021-06-18,3993.0
2021-06-11,4283.9
2021-06-04,4256.7
2021-05-28,4349.6
2021-05-21,4182.9
2021-05-14,4299.4
2021-05-07,4399.9
2021-04-30,4178.1
2021-04-23,4048.1
2021-04-16,3943.6
2021-04-09,3849.4
2021-04-02,3784.8
2021-03-26,3867.7
2021-03-19,3882.2
2021-03-12,3839.6
2021-03-05,3794.1
2021-02-26,3876.9
2021-02-19,3870.7
2021-02-12,3667.7
2021-02-05,3504.3
2021-01-29,3455.8
2021-01-22,3516.1
2021-01-15,3485.8
2021-01-08,3544.5
2021-01-01,3414.5
2020-12-25,3451.7
2020-12-18,3522.3
2020-12-11,3442.8
2020-12-04,3421.5
2020-11-27,3354.6
2020-11-20,3288.4
2020-11-13,3160.9
2020-11-06,3128.0
2020-10-30,3037.4
2020-10-23,3085.8
2020-10-16,3045.6
2020-10-09,3038.0
2020-10-02,2927.1
2020-09-25,2922.0
2020-09-18,3046.3
2020-09-11,3014.8
2020-09-04,3019.5
2020-08-28,3017.3
2020-08-21,2943.3
2020-08-14,2890.6
2020-08-07,2884.4
2020-07-31,2872.7
2020-07-24,2852.0
2020-07-17,2833.0
2020-07-10,2842.0
2020-07-03,2682.5
2020-06-26,2661.7
2020-06-19,2638.4
2020-06-12,2605.9
2020-06-05,2593.2
2020-05-29,2470.9
2020-05-22,2433.2
2020-05-15,2376.1
2020-05-08,2417.9
2020-05-01,2361.7
