Date,London Metal Exchange Index,Date,Copper,Date,Aluminium,Date,IMF World Commodity Food Price
31/12/21,4502,31/12/21,446.35,31/12/21,2803,31/11/2021,132.567
24/12/21,4466,24/12/21,438.7,24/12/21,2839.5,31/10/21,131.119
17/12/21,4366.3,17/12/21,429.1,17/12/21,2718.25,30/09/21,129.025
10/12/21,4336.3,10/12/21,428.3,10/12/21,2616.51,31/08/21,132.178
03/12/21,4314.9,03/12/21,426.65,03/12/21,2642.75,31/07/21,132.156
26/11/21,4329.2,26/11/21,428.35,26/11/21,2632.5,30/06/21,131.71
19/11/21,4398.3,19/11/21,440.75,19/11/21,2699.75,31/05/21,137.289
12/11/21,4415.8,12/11/21,444.95,12/11/21,2698.35,30/04/21,129.753
05/11/21,4320.7,05/11/21,434.3,05/11/21,2537.75,31/03/21,122.263
29/10/21,4394.2,29/10/21,436.8,29/10/21,2712.25,28/02/21,119.474
22/10/21,4542.7,22/10/21,449.8,22/10/21,2865.5,31/01/21,116.423
15/10/21,4762.8,15/10/21,472.95,15/10/21,3149.5,31/12/20,109.504
08/10/21,4365.6,08/10/21,427.55,08/10/21,2952.3,30/11/20,108.415
01/10/21,4209.2,01/10/21,418.85,01/10/21,2845,31/10/20,105.348
24/09/21,4342.4,24/09/21,428.75,24/09/21,2910,30/09/20,100
17/09/21,4301.9,17/09/21,424.55,17/09/21,2884.5,31/08/20,98.624
10/09/21,4429.1,10/09/21,444.8,10/09/21,2916.5,31/07/20,97.636
03/09/21,4269,03/09/21,432.55,03/09/21,2716.75,30/06/20,99.806
27/08/21,4233.1,27/08/21,431.85,27/08/21,2641.25,31/05/20,96.517
20/08/21,4077,20/08/21,413.7,20/08/21,2539.75,30/04/20,92.934
13/08/21,4281.1,13/08/21,439.15,13/08/21,2608.75,31/03/20,97.2
06/08/21,4230.3,06/08/21,434.8,06/08/21,2573.25,29/02/20,101.111
30/07/21,4320.6,30/07/21,448.25,30/07/21,2603,31/01/20,105.403
23/07/21,4225.1,23/07/21,440.65,23/07/21,2502.6,31/12/19,104.019
16/07/21,4183.5,16/07/21,433.25,16/07/21,2468.25,30/11/19,100.278
09/07/21,4187,09/07/21,435.25,09/07/21,2485.25,31/10/19,96.382
02/07/21,4163.3,02/07/21,428.2,02/07/21,2554.5,30/09/19,96.053
25/06/21,4137,25/06/21,429.2,25/06/21,2478.75,31/08/19,98.26
18/06/21,3993,18/06/21,415.7,18/06/21,2375,31/07/19,100.272
11/06/21,4283.9,11/06/21,453.75,11/06/21,2465.2,30/06/19,100.213
04/06/21,4256.7,04/06/21,452.9,04/06/21,2448.75,31/05/19,98.094
28/05/21,4349.6,28/05/21,467.75,28/05/21,2466.76,30/04/19,101.569
21/05/21,4182.9,21/05/21,449.6,21/05/21,2351.25,31/03/19,98.063
14/05/21,4299.4,14/05/21,466.4,14/05/21,2438.75,28/02/19,98.772
07/05/21,4399.9,07/05/21,476.6,07/05/21,2524.2,31/01/19,100.467
30/04/21,4178.1,30/04/21,447.9,30/04/21,2390.5,31/12/18,98.69
23/04/21,4048.1,23/04/21,433.6,23/04/21,2352.75,30/11/18,95.855
16/04/21,3943.6,16/04/21,416.8,16/04/21,2301.95,31/10/18,100.421
09/04/21,3849.4,09/04/21,404,09/04/21,2248.5,30/09/18,98.627
02/04/21,3784.8,02/04/21,399.05,02/04/21,2209.25,31/08/18,97.361
26/03/21,3867.7,26/03/21,407.85,26/03/21,2284,31/07/18,101.33
19/03/21,3882.2,19/03/21,412.35,19/03/21,2249,30/06/18,104.08
12/03/21,3839.6,12/03/21,414.55,12/03/21,2145.75,31/05/18,108.363
05/03/21,3794.1,05/03/21,408.7,05/03/21,2152.75,30/04/18,106.719
26/02/21,3876.9,26/02/21,409.45,26/02/21,2131.75,31/03/18,106.905
19/02/21,3870.7,19/02/21,407.4,19/02/21,2114.75,28/02/18,105.893
12/02/21,3667.7,12/02/21,378.8,12/02/21,2085.25,31/01/18,105.818
05/02/21,3504.3,05/02/21,362.6,05/02/21,2012.75,31/12/17,102.282
29/01/21,3455.8,29/01/21,355.6,29/01/21,1972.88,30/11/17,102.291
22/01/21,3516.1,22/01/21,362.6,22/01/21,1986.75,31/10/17,101.652
15/01/21,3485.8,15/01/21,360.2,15/01/21,1990.75,30/09/17,100.849
08/01/21,3544.5,08/01/21,367.35,08/01/21,2018,31/08/17,102.081
01/01/21,3414.5,01/01/21,351.9,01/01/21,1979,31/07/17,106.864
25/12/20,3451.7,25/12/20,356,25/12/20,2031,30/06/17,104.517
18/12/20,3522.3,18/12/20,362.85,18/12/20,2050.5,31/05/17,105.218
11/12/20,3442.8,11/12/20,352.4,11/12/20,2007.4,30/04/17,102.805
04/12/20,3421.5,04/12/20,351.4,04/12/20,2034.85,31/03/17,103.435
27/11/20,3354.6,27/11/20,339.95,27/11/20,1994,28/02/17,107.023
20/11/20,3288.4,20/11/20,329.1,20/11/20,1988,31/01/17,106.537
13/11/20,3160.9,13/11/20,317.8,13/11/20,1916.5,31/12/16,102.327
06/11/20,3128,06/11/20,315.4,06/11/20,1888.75,30/11/16,101.196
30/10/20,3037.4,30/10/20,304.75,30/10/20,1853.5,31/10/16,100.643
23/10/20,3085.8,23/10/20,312.9,23/10/20,1836.95,,
16/10/20,3045.6,16/10/20,306.75,16/10/20,1859,,
09/10/20,3038,09/10/20,308.25,09/10/20,1828.5,,
02/10/20,2927.1,02/10/20,297.75,02/10/20,1741.75,,
25/09/20,2922,25/09/20,297.3,25/09/20,1725,,
18/09/20,3046.3,18/09/20,311.35,18/09/20,1768.75,,
11/09/20,3014.8,11/09/20,303.4,11/09/20,1737.5,,
04/09/20,3019.5,04/09/20,304.65,04/09/20,1755,,
28/08/20,3017.3,28/08/20,299.5,28/08/20,1771.5,,
21/08/20,2943.3,21/08/20,291.75,21/08/20,1738,,
14/08/20,2890.6,14/08/20,285.9,14/08/20,1710.75,,
07/08/20,2884.4,07/08/20,279.25,07/08/20,1739.55,,
31/07/20,2872.7,31/07/20,286.8,31/07/20,1683.5,,
24/07/20,2852,24/07/20,288.2,24/07/20,1676.6,,
17/07/20,2833,17/07/20,288.75,17/07/20,1641.75,,
10/07/20,2842,10/07/20,288.7,10/07/20,1659.75,,
03/07/20,2682.5,03/07/20,273.35,03/07/20,1586,,
26/06/20,2661.7,26/06/20,265.9,26/06/20,1577.25,,
19/06/20,2638.4,19/06/20,261.1,19/06/20,1569,,
12/06/20,2605.9,12/06/20,260,12/06/20,1561.25,,
05/06/20,2593.2,05/06/20,255.55,05/06/20,1571,,
29/05/20,2470.9,29/05/20,242.55,29/05/20,1535,,
22/05/20,2433.2,22/05/20,240.9,22/05/20,1492.25,,
15/05/20,2376.1,15/05/20,233.35,15/05/20,1429.25,,
08/05/20,2417.9,08/05/20,240.85,08/05/20,1453,,
01/05/20,2361.7,01/05/20,231.85,01/05/20,1457.61,,
24/04/20,2380.3,24/04/20,233.7,24/04/20,1490.75,,
17/04/20,2407.4,17/04/20,234.45,17/04/20,1485,,
10/04/20,2341.4,10/04/20,225.95,10/04/20,1440.5,,
03/04/20,2275.7,03/04/20,219.25,03/04/20,1453.75,,
27/03/20,2294.2,27/03/20,219.7,27/03/20,1526.5,,
20/03/20,2302.2,20/03/20,219.05,20/03/20,1571.75,,
13/03/20,2546.5,13/03/20,247.4,13/03/20,1663,,
