Date,Aluminium
2022-02-18,3275.0
2022-02-11,3146.5
2022-02-04,3097.5
2022-01-28,3103.5
2022-01-21,3052.77
2022-01-14,2976.25
2022-01-07,2907.5
2021-12-31,2803.0
2021-12-24,2839.5
2021-12-17,2718.25
2021-12-10,2616.51
2021-12-03,2642.75
2021-11-26,2632.5
2021-11-19,2699.75
2021-11-12,2698.35
2021-11-05,2537.75
2021-10-29,2712.25
2021-10-22,2865.5
2021-10-15,3149.5
2021-10-08,2952.3
2021-10-01,2845.0
2021-09-24,2910.0
2021-09-17,2884.5
2021-09-10,2916.5
2021-09-03,2716.75
2021-08-27,2641.25
2021-08-20,2539.75
2021-08-13,2608.75
2021-08-06,2573.25
2021-07-30,2603.0
2021-07-23,2502.6
2021-07-16,2468.25
2021-07-09,2485.25
2021-07-02,2554.5
2021-06-25,2478.75
2021-06-18,2375.0
2021-06-11,2465.2
2021-06-04,2448.75
2021-05-28,2466.76
2021-05-21,2351.25
2021-05-14,2438.75
2021-05-07,2524.2
2021-04-30,2390.5
2021-04-23,2352.75
2021-04-16,2301.95
2021-04-09,2248.5
2021-04-02,2209.25
2021-03-26,2284.0
2021-03-19,2249.0
2021-03-12,2145.75
2021-03-05,2152.75
2021-02-26,2131.75
2021-02-19,2114.75
2021-02-12,2085.25
2021-02-05,2012.75
2021-01-29,1972.88
2021-01-22,1986.75
2021-01-15,1990.75
2021-01-08,2018.0
2021-01-01,1979.0
2020-12-25,2031.0
2020-12-18,2050.5
2020-12-11,2007.4
2020-12-04,2034.85
2020-11-27,1994.0
2020-11-20,1988.0
2020-11-13,1916.5
2020-11-06,1888.75
2020-10-30,1853.5
2020-10-23,1836.95
2020-10-16,1859.0
2020-10-09,1828.5
2020-10-02,1741.75
2020-09-25,1725.0
2020-09-18,1768.75
2020-09-11,1737.5
2020-09-04,1755.0
2020-08-28,1771.5
2020-08-21,1738.0
2020-08-14,1710.75
2020-08-07,1739.55
2020-07-31,1683.5
2020-07-24,1676.6
2020-07-17,1641.75
2020-07-10,1659.75
2020-07-03,1586.0
2020-06-26,1577.25
2020-06-19,1569.0
2020-06-12,1561.25
2020-06-05,1571.0
2020-05-29,1535.0
2020-05-22,1492.25
2020-05-15,1429.25
2020-05-08,1453.0
2020-05-01,1457.61
2020-04-24,1490.75
2020-04-17,1485.0
2020-04-10,1440.5
2020-04-03,1453.75
2020-03-27,1526.5
2020-03-20,1571.75
2020-03-13,1663.0
2020-03-06,1668.25
2020-02-28,1685.5
2020-02-21,1701.25
2020-02-14,1696.75
2020-02-07,1703.25
2020-01-31,1703.5
2020-01-24,1766.0
2020-01-17,1790.75
2020-01-10,1781.25
2020-01-03,1798.75
2019-12-27,1808.25
2019-12-20,1782.0
2019-12-13,1757.0
2019-12-06,1764.25
2019-11-29,1780.0
2019-11-22,1747.0
2019-11-15,1759.5
