Date,food
30/11/2021,132.567
31/10/2021,131.119
30/09/2021,129.025
31/08/2021,132.178
31/07/2021,132.156
30/06/2021,131.71
31/05/2021,137.289
30/04/2021,129.753
31/03/2021,122.263
28/02/2021,119.474
31/01/2021,116.423
31/12/2020,109.504
30/11/2020,108.415
31/10/2020,105.348
30/09/2020,100
31/08/2020,98.624
31/07/2020,97.636
30/06/2020,99.806
31/05/2020,96.517
30/04/2020,92.934
31/03/2020,97.2
29/02/2020,101.111
31/01/2020,105.403
31/12/2019,104.019
30/11/2019,100.278
31/10/2019,96.382
30/09/2019,96.053
31/08/2019,98.26
31/07/2019,100.272
30/06/2019,100.213
31/05/2019,98.094
30/04/2019,101.569
31/03/2019,98.063
28/02/2019,98.772
31/01/2019,100.467
31/12/2018,98.69
30/11/2018,95.855
31/10/2018,100.421
30/09/2018,98.627
31/08/2018,97.361
31/07/2018,101.33
30/06/2018,104.08
31/05/2018,108.363
30/04/2018,106.719
31/03/2018,106.905
28/02/2018,105.893
31/01/2018,105.818
31/12/2017,102.282
30/11/2017,102.291
31/10/2017,101.652
30/09/2017,100.849
31/08/2017,102.081
31/07/2017,106.864
30/06/2017,104.517
31/05/2017,105.218
30/04/2017,102.805
31/03/2017,103.435
28/02/2017,107.023
31/01/2017,106.537
31/12/2016,102.327
30/11/2016,101.196
31/10/2016,100.643
