Date,lmex
31/12/21,4502
24/12/21,4466
17/12/21,4366.3
10/12/21,4336.3
03/12/21,4314.9
26/11/21,4329.2
19/11/21,4398.3
12/11/21,4415.8
05/11/21,4320.7
29/10/21,4394.2
22/10/21,4542.7
15/10/21,4762.8
08/10/21,4365.6
01/10/21,4209.2
24/09/21,4342.4
17/09/21,4301.9
10/09/21,4429.1
03/09/21,4269
27/08/21,4233.1
20/08/21,4077
13/08/21,4281.1
06/08/21,4230.3
30/07/21,4320.6
23/07/21,4225.1
16/07/21,4183.5
09/07/21,4187
02/07/21,4163.3
25/06/21,4137
18/06/21,3993
11/06/21,4283.9
04/06/21,4256.7
28/05/21,4349.6
21/05/21,4182.9
14/05/21,4299.4
07/05/21,4399.9
30/04/21,4178.1
23/04/21,4048.1
16/04/21,3943.6
09/04/21,3849.4
02/04/21,3784.8
26/03/21,3867.7
19/03/21,3882.2
12/03/21,3839.6
05/03/21,3794.1
26/02/21,3876.9
19/02/21,3870.7
12/02/21,3667.7
05/02/21,3504.3
29/01/21,3455.8
22/01/21,3516.1
15/01/21,3485.8
08/01/21,3544.5
01/01/21,3414.5
25/12/20,3451.7
18/12/20,3522.3
11/12/20,3442.8
04/12/20,3421.5
27/11/20,3354.6
20/11/20,3288.4
13/11/20,3160.9
06/11/20,3128
30/10/20,3037.4
23/10/20,3085.8
16/10/20,3045.6
09/10/20,3038
02/10/20,2927.1
25/09/20,2922
18/09/20,3046.3
11/09/20,3014.8
04/09/20,3019.5
28/08/20,3017.3
21/08/20,2943.3
14/08/20,2890.6
07/08/20,2884.4
31/07/20,2872.7
24/07/20,2852
17/07/20,2833
10/07/20,2842
03/07/20,2682.5
26/06/20,2661.7
19/06/20,2638.4
12/06/20,2605.9
05/06/20,2593.2
29/05/20,2470.9
22/05/20,2433.2
15/05/20,2376.1
08/05/20,2417.9
01/05/20,2361.7
24/04/20,2380.3
17/04/20,2407.4
10/04/20,2341.4
03/04/20,2275.7
27/03/20,2294.2
20/03/20,2302.2
13/03/20,2546.5
06/03/20,2602.5
28/02/20,2606.9
21/02/20,2660.5
14/02/20,2674.5
07/02/20,2638.5
31/01/20,2629.9
24/01/20,2763.6
17/01/20,2892.6
10/01/20,2864.7
03/01/20,2831.4
27/12/19,2866.6
20/12/19,2859.7
13/12/19,2818.3
06/12/19,2767.2
29/11/19,2749
22/11/19,2757.3
15/11/19,2773.9
08/11/19,2856.9
01/11/19,2848.4
25/10/19,2850
18/10/19,2809.3
11/10/19,2811.1
04/10/19,2759.7
27/09/19,2779.5
20/09/19,2819.2
13/09/19,2873.7
06/09/19,2829.1
30/08/19,2757.3
23/08/19,2723.8
16/08/19,2768.3
09/08/19,2752
02/08/19,2736.6
26/07/19,2823.9
19/07/19,2873.8
12/07/19,2813.1
05/07/19,2772.1
28/06/19,2818.6
21/06/19,2786.3
14/06/19,2744.1
07/06/19,2735.9
31/05/19,2763.1
24/05/19,2810.9
17/05/19,2845.7
10/05/19,2854.5
03/05/19,2900.5
26/04/19,2968.7
19/04/19,3001.4
12/04/19,3026.3
05/04/19,3020.8
29/03/19,3056.7
22/03/19,2998.5
15/03/19,3020.1
08/03/19,2998.4
01/03/19,3055.1
22/02/19,3038.3
15/02/19,2924.8
08/02/19,2942.9
01/02/19,2940.7
25/01/19,2909.7
18/01/19,2873.2
11/01/19,2814.1
04/01/19,2796.9
28/12/18,2809.3
21/12/18,2830.7
14/12/18,2875.5
07/12/18,2898.3
30/11/18,2909.8
23/11/18,2902.2
16/11/18,2918.3
09/11/18,2880.3
02/11/18,2952
26/10/18,2945.1
19/10/18,2967.4
12/10/18,3005.8
05/10/18,2998.4
28/09/18,2994.8
21/09/18,3025.3
14/09/18,2879.7
07/09/18,2882.5
31/08/18,2928.3
24/08/18,2970.4
17/08/18,2877.9
10/08/18,3007.2
03/08/18,2988.1
27/07/18,3033
20/07/18,2972.7
13/07/18,3005.2
06/07/18,3060.9
29/06/18,3203.9
22/06/18,3274.2
15/06/18,3357.9
08/06/18,3488.8
01/06/18,3370.5
25/05/18,3331.2
18/05/18,3330.5
11/05/18,3343.8
04/05/18,3339
27/04/18,3288.3
20/04/18,3457.1
13/04/18,3316.2
06/04/18,3222.6
30/03/18,3204.8
23/03/18,3189.3
16/03/18,3276.1
09/03/18,3310.9
02/03/18,3316.3
23/02/18,3391.6
16/02/18,3464.4
09/02/18,3270.7
02/02/18,3406.5
26/01/18,3428.8
19/01/18,3375.5
12/01/18,3380
05/01/18,3367.6
29/12/17,3418.9
22/12/17,3343.8
15/12/17,3226.7
08/12/17,3100.7
01/12/17,3219.4
24/11/17,3288.6
17/11/17,3206.7
10/11/17,3226.8
03/11/17,3286.5
27/10/17,3244.8
20/10/17,3257.2
13/10/17,3266.1
06/10/17,3197.9
29/09/17,3124.7
22/09/17,3122
15/09/17,3110.5
08/09/17,3158.3
01/09/17,3242.8
25/08/17,3151.5
18/08/17,3107
11/08/17,3049.6
04/08/17,2979.7
28/07/17,2960.9
21/07/17,2866.2
14/07/17,2858.5
07/07/17,2821.7
30/06/17,2853.5
23/06/17,2780.9
16/06/17,2719.8
09/06/17,2758.7
02/06/17,2745.8
26/05/17,2769.8
19/05/17,2774.6
12/05/17,2715.7
05/05/17,2725.5
28/04/17,2782.5
21/04/17,2748.1
14/04/17,2773.3
07/04/17,2840.6
31/03/17,2858.7
24/03/17,2846.2
17/03/17,2881.8
10/03/17,2785.5
03/03/17,2859.2
24/02/17,2863.3
17/02/17,2872.5
10/02/17,2918.5
03/02/17,2800.2
27/01/17,2807.7
20/01/17,2792.1
13/01/17,2839.5
06/01/17,2688.5
30/12/16,2659.6
23/12/16,2663.2
16/12/16,2744.2
09/12/16,2806.1
02/12/16,2770.6
25/11/16,2840.5
18/11/16,2644.5
11/11/16,2696.4
04/11/16,2535.5
28/10/16,2486.6
