Date,Real credit growth (CPI+WPI based) ,Real lending rate (CPI+WPI based)
Apr-01,12.39,7.62
May-01,12.32,7.45
Jun-01,8.58,7.15
Jul-01,9.88,6.83
Aug-01,8.99,6.2
Sep-01,9.44,6.87
Oct-01,10.99,8.48
Nov-01,10.41,7.76
Dec-01,8.54,7.59
Jan-02,10.42,8.27
Feb-02,10.21,8.21
Mar-02,11.84,8.04
Apr-02,12.31,8.41
May-02,22.14,8.42
Jun-02,21.62,8.21
Jul-02,20.91,8.16
Aug-02,20.56,7.9
Sep-02,20.04,7.59
Oct-02,19.06,7.37
Nov-02,20.96,7.63
Dec-02,20.42,7.86
Jan-03,20.52,7.3
Feb-03,20.19,6.52
Mar-03,18.63,6.1
Apr-03,15.99,5.27
May-03,7.69,5.41
Jun-03,8.05,6.09
Jul-03,7.19,6.6
Aug-03,8.03,7.48
Sep-03,7.48,7.11
Oct-03,8.78,6.79
Nov-03,8.27,6.5
Dec-03,8.4,5.86
Jan-04,8.22,5.2
Feb-04,9.59,5.49
Mar-04,11.17,6.49
Apr-04,15.63,7.26
May-04,14.37,6.7
Jun-04,15.07,5.77
Jul-04,17.04,5.22
Aug-04,17.57,4.09
Sep-04,18,4.14
Oct-04,24.05,4.58
Nov-04,25.08,4.66
Dec-04,28.21,5.24
Jan-05,25.5,5.55
Feb-05,25.52,5.91
Mar-05,26.1,5.72
Apr-05,25.27,5.35
May-05,27.9,6.33
Jun-05,28.12,6.5
Jul-05,28.84,6.05
Aug-05,28.86,7.04
Sep-05,32.75,6.49
Oct-05,25.51,6.08
Nov-05,25.17,5.86
Dec-05,24.9,5.53
Jan-06,26.25,5.96
Feb-06,27.19,5.82
Mar-06,32.38,5.92
Apr-06,26.74,5.52
May-06,24.72,4.84
Jun-06,26.4,3.79
Jul-06,24.62,4.39
Aug-06,24.65,4.55
Sep-06,23.33,4.4
Oct-06,21.39,4.15
Nov-06,22.25,4.74
Dec-06,23.43,4.33
Jan-07,23.24,5.07
Feb-07,22.15,4.65
Mar-07,21.42,5.66
Apr-07,20.62,6.56
May-07,20.07,6.93
Jun-07,18.51,7.93
Jul-07,17.58,7.56
Aug-07,18.66,7.35
Sep-07,17.74,8.11
Oct-07,18.17,8.65
Nov-07,19.96,8.38
Dec-07,16.67,8.24
Jan-08,17.73,7.98
Feb-08,18.39,7.05
Mar-08,14.51,4.71
Apr-08,15.33,4.66
May-08,17.93,4.53
Jun-08,16.61,3.33
Jul-08,15.58,3.26
Aug-08,15.33,3.55
Sep-08,14.93,3.6
Oct-08,20.13,3.32
Nov-08,16.47,3.7
Dec-08,14.98,4.68
Jan-09,12.51,4.09
Feb-09,11.7,5.38
Mar-09,12.68,7.16
Apr-09,13.08,6.92
May-09,10.75,6.58
Jun-09,10.61,7.18
Jul-09,11.13,5.71
Aug-09,7.93,5.37
Sep-09,6.16,4.98
Oct-09,2.37,4.86
Nov-09,0.97,2.38
Dec-09,1.21,0.44
Jan-10,2.47,-0.95
Feb-10,3.67,-0.76
Mar-10,4.29,-1.11
Apr-10,5.75,-0.61
May-10,6.05,-0.7
Jun-10,8.77,-0.49
Jul-10,9.87,-2.87
Aug-10,10.12,-1.63
Sep-10,9.75,-1.4
Oct-10,12.76,-1.39
Nov-10,14.39,-0.22
Dec-10,17.24,-1.16
Jan-11,13.92,-0.63
Feb-11,14.11,-0.31
Mar-11,12.24,-0.38
Apr-11,11.71,-0.33
May-11,12.73,0.48
Jun-11,10.62,0.56
Jul-11,9.79,1.23
Aug-11,11.3,0.99
Sep-11,13.27,0.35
Oct-11,8.26,0.75
Nov-11,8.47,0.98
Dec-11,8.86,3.26
Jan-12,9.71,3.63
Feb-12,7.84,2.58
Mar-12,8.62,2
Apr-12,8.91,1.62
May-12,9.15,1.58
Jun-12,9.78,1.38
Jul-12,8.45,1.42
Aug-12,8.51,1.12
Sep-12,6.8,1.24
Oct-12,7.59,1.82
Nov-12,9.49,1.72
Dec-12,6.21,1.24
Jan-13,7.39,1.48
Feb-13,7.52,1.2
Mar-13,6.52,2.43
Apr-13,8.51,3.87
May-13,9.36,4.2
Jun-13,6.43,2.94
Jul-13,7.44,2.72
Aug-13,8.48,2.18
Sep-13,6.67,1.66
Oct-13,7.27,1.27
Nov-13,4.85,1.11
Dec-13,6.56,2.45
Jan-14,8.84,3.23
Feb-14,9.38,3.79
Mar-14,7.2,3.38
Apr-14,7,3.35
May-14,5.51,3.11
Jun-14,7.07,4.42
Jul-14,6.6,3.96
Aug-14,4.96,4.71
Sep-14,5.91,6.39
Oct-14,8.94,7.38
Nov-14,9.24,8.58
Dec-14,8.49,8.56
Jan-15,7.9,8.76
Feb-15,7.95,9.2
Mar-15,9.74,9.42
Apr-15,8.59,9.28
May-15,8.33,8.85
Jun-15,7.57,8.63
Jul-15,10.54,10.4
Aug-15,10,11.05
Sep-15,9.36,10.36
Oct-15,8.7,9.38
Nov-15,8.47,8.63
Dec-15,9,7.9
Jan-16,9.5,7.92
Feb-16,9.55,8.01
Mar-16,8.1,8.09
Apr-16,7.84,7.31
May-16,6.96,7.07
Jun-16,6.17,6.66
Jul-16,5.1,6.15
Aug-16,5.83,6.43
Sep-16,8.95,6.6
Oct-16,5.94,6.74
Nov-16,3.45,6.75
Dec-16,3.28,6.69
Jan-17,0.55,5.74
Feb-17,-0.93,4.87
Mar-17,3.67,4.95
Apr-17,1.42,5.93
May-17,2.53,7.13
Jun-17,7.01,8.17
Jul-17,3.57,7.15
Aug-17,2.96,6.02
Sep-17,3.31,6.06
Oct-17,3.15,5.57
Nov-17,4.82,4.75
Dec-17,5.99,4.75
Jan-18,6.1,5.01
Feb-18,7.21,5.46
Mar-18,6.49,5.54
Apr-18,8.24,4.98
May-18,7.96,4.25
Jun-18,5.61,3.77
Jul-18,7.61,4.38
Aug-18,10.01,4.95
Sep-18,8.04,4.69
Oct-18,10.12,4.69
Nov-18,12.83,5.75
Dec-18,11.16,6.41
Jan-19,12.41,6.83
Feb-19,11.97,6.45
Mar-19,10.31,6.2
Apr-19,9.84,6.06
May-19,10.73,6.43
Jun-19,9.26,6.58
Jul-19,10,7.01
Aug-19,8.06,6.99
Sep-19,6.6,7.02
Oct-19,6.54,6.79
Nov-19,4.19,6.12
Dec-19,1.98,4.21
Jan-20,2.5,3.37
Feb-20,2.51,4.51
Mar-20,3,5.65
Apr-20,3.95,5.95
May-20,4.1,7.33
Jun-20,3.35,5.99
Jul-20,3.36,5.13
Aug-20,2.11,4.77
Sep-20,0.82,3.87
Oct-20,1.02,3.56
Nov-20,1.65,3.86
Dec-20,3.31,5.15
Jan-21,2.89,5.02
Feb-21,2.02,3.44
Mar-21,-0.88,1.64
Apr-21,-1.16,0.71
May-21,-3.74,-1.5
Jun-21,-3.13,-1.08
Jul-21,-2.28,-0.3
Aug-21,-1.67,-0.25
Sep-21,-0.83,0.55
Oct-21,-1.58,-0.44
Nov-21,-2.95,-1.84
Dec-21,0.72,-1.58
Jan-22,-1.28,-1.46
Feb-22,,
Mar-22,,
