Date,USD-INR,Sensex
2022-03-19,75.805,57863.93
2022-03-18,75.805,57863.93
2022-03-17,75.805,57863.93
2022-03-16,76.265,56816.65
2022-03-15,76.6113,55776.85
2022-03-14,76.5663,56486.02
2022-03-13,76.5938,55550.3
2022-03-12,76.5938,55550.3
2022-03-11,76.5938,55550.3
2022-03-10,76.3075,55464.39
2022-03-09,76.5638,54647.33
2022-03-08,76.9125,53424.09
2022-03-07,76.9662,52842.75
2022-03-06,76.1675,54333.81
2022-03-05,76.1675,54333.81
2022-03-04,76.1675,54333.81
2022-03-03,75.91,55102.68
2022-03-02,75.7125,55468.9
2022-03-01,75.3425,56247.28
2022-02-28,75.3425,56247.28
2022-02-27,75.2925,55858.52
2022-02-26,75.2925,55858.52
2022-02-25,75.2925,55858.52
2022-02-24,75.6537,54529.91
2022-02-23,74.5663,57232.06
2022-02-22,74.875,57300.68
2022-02-21,74.515,57683.59
2022-02-20,74.6625,57832.97
2022-02-19,74.6625,57832.97
2022-02-18,74.6625,57832.97
2022-02-17,75.11,57892.01
2022-02-16,75.0762,57996.68
2022-02-15,75.3387,58142.05
2022-02-14,75.6013,56405.84
2022-02-13,75.3775,58152.92
2022-02-12,75.3775,58152.92
2022-02-11,75.3775,58152.92
2022-02-10,74.95,58926.03
2022-02-09,74.8075,58465.97
2022-02-08,74.7487,57808.58
2022-02-07,74.6963,57621.19
2022-02-06,74.6963,58644.82
2022-02-05,74.6963,58644.82
2022-02-04,74.6963,58644.82
2022-02-03,74.86,58788.02
2022-02-02,74.84,59558.33
2022-02-01,74.8013,58862.57
2022-01-31,74.6225,58014.17
2022-01-30,75.04,57200.23
2022-01-29,75.04,57200.23
2022-01-28,75.04,57200.23
2022-01-27,75.0688,57276.94
2022-01-26,74.7762,57858.15
2022-01-25,74.7762,57858.15
2022-01-24,74.5675,57491.51
2022-01-23,74.4275,59037.18
2022-01-22,74.4275,59037.18
2022-01-21,74.4275,59037.18
2022-01-20,74.51,59464.62
2022-01-19,74.4313,60098.82
2022-01-18,74.5825,60754.86
2022-01-17,74.2425,61308.91
2022-01-16,74.1537,61223.03
2022-01-15,74.1537,61223.03
2022-01-14,74.1537,61223.03
2022-01-13,73.885,61235.3
2022-01-12,73.9175,61150.04
2022-01-11,73.9125,60616.89
2022-01-10,74.0375,60395.63
2022-01-09,74.3062,59744.65
2022-01-08,74.3062,59744.65
2022-01-07,74.3062,59744.65
2022-01-06,74.4987,59601.84
2022-01-05,74.36,60223.15
2022-01-04,74.5575,59855.93
2022-01-03,74.2588,59183.22
2022-01-02,74.3375,58253.82
2022-01-01,74.3375,58253.82
2021-12-31,74.3375,58253.82
2021-12-30,74.42,57794.32
2021-12-29,74.7375,57806.49
2021-12-28,74.6563,57897.48
2021-12-27,74.9975,57420.24
2021-12-26,75.0188,57124.31
2021-12-25,75.0188,57124.31
2021-12-24,75.0188,57124.31
2021-12-23,75.245,57315.28
2021-12-22,75.5513,56930.56
2021-12-21,75.6025,56319.01
2021-12-20,75.9163,55822.01
2021-12-19,76.085,57011.74
2021-12-18,76.085,57011.74
2021-12-17,76.085,57011.74
2021-12-16,76.0938,57901.14
2021-12-15,76.2312,57788.03
2021-12-14,75.87,58117.09
2021-12-13,75.7612,58283.42
2021-12-12,75.785,58786.67
2021-12-11,75.785,58786.67
2021-12-10,75.785,58786.67
2021-12-09,75.52,58807.13
2021-12-08,75.455,58649.68
