Date,3BBB
2022-02-18,9.7851
2022-02-17,9.8002
2022-02-16,9.7848
2022-02-15,9.7845
2022-02-11,9.7902
2022-02-10,9.9015
2022-02-09,10.0484
2022-02-04,10.1109
2022-02-03,10.0409
2022-02-02,10.0123
2022-02-01,9.9736
2022-01-28,9.9193
2022-01-27,9.923
2022-01-25,9.85
2022-01-21,9.8671
2022-01-20,9.8607
2022-01-19,9.889
2022-01-18,9.8852
2022-01-14,9.8604
2022-01-13,9.8411
2022-01-12,9.9048
2022-01-11,9.8945
2022-01-07,9.8717
2022-01-06,9.8574
2022-01-05,9.8328
2022-01-04,9.8432
2021-12-31,9.825
2021-12-30,9.8219
2021-12-29,9.815
2021-12-28,9.7993
2021-12-24,9.8572
2021-12-23,9.8143
2021-12-22,9.7968
2021-12-21,9.7786
2021-12-17,9.6416
2021-12-16,9.6424
2021-12-15,9.6312
2021-12-14,9.6046
2021-12-10,9.6174
2021-12-09,9.5862
2021-12-08,9.5679
2021-12-07,9.6257
2021-12-03,9.5876
2021-12-02,9.5847
2021-12-01,9.5963
2021-11-30,9.5739
2021-11-26,9.5857
2021-11-25,9.6173
2021-11-24,9.598
2021-11-23,9.5847
2021-11-18,9.5599
2021-11-17,9.5599
2021-11-16,9.5742
2021-11-15,9.4214
2021-11-12,9.5821
2021-11-11,9.5646
2021-11-10,9.536
2021-11-09,9.488
2021-11-08,9.4193
2021-11-03,9.4637
2021-11-02,9.5592
2021-11-01,9.5971
2021-10-29,9.5775
2021-10-28,9.5848
2021-10-27,9.551
2021-10-26,9.5562
2021-10-25,9.5332
2021-10-22,9.5445
2021-10-21,9.4834
2021-10-20,9.5148
2021-10-18,9.4603
2021-10-14,9.3793
2021-10-13,9.3658
2021-10-12,9.4086
2021-10-11,9.4459
2021-10-08,9.3967
2021-10-07,9.3962
2021-10-06,9.366
2021-10-05,9.3373
2021-10-04,9.3431
2021-10-01,9.3512
2021-09-30,9.3658
2021-10-21,9.4834
2021-10-20,9.5148
2021-10-18,9.4603
2021-10-14,9.3793
2021-10-13,9.3658
2021-10-12,9.4086
2021-10-11,9.4459
2021-10-08,9.3967
2021-10-07,9.3962
2021-10-06,9.366
2021-10-05,9.3373
2021-10-04,9.3431
2021-10-01,9.3512
2021-09-30,9.3658
2021-09-29,9.3239
2021-09-28,9.2987
2021-09-27,9.2829
2021-09-24,9.2577
2021-09-23,9.1814
2021-09-22,9.1783
2021-09-21,9.1715
2021-09-20,9.1464
2021-09-17,9.1772
2021-09-16,9.1722
2021-09-15,9.203
2021-09-14,9.241
2021-09-13,9.2273
2021-09-09,9.2072
2021-09-08,9.2089
2021-09-07,9.221
2021-09-06,9.1797
2021-09-03,9.1644
2021-09-02,9.1526
2021-09-01,9.1272
2021-08-31,9.2343
2021-08-30,9.2519
2021-08-27,9.2963
2021-08-26,9.2935
2021-08-25,9.2882
2021-08-24,9.2889
2021-08-23,9.2323
2021-08-20,9.3192
2021-08-18,9.2982
2021-08-17,9.3463
2021-08-13,9.39
2021-08-12,9.3228
2021-08-11,9.3609
2021-08-10,9.3347
2021-08-09,9.3608
2021-08-06,9.5021
2021-08-05,9.353
2021-08-04,9.355
2021-08-03,9.3683
2021-08-02,9.4373
2021-07-30,9.3273
2021-07-29,9.3487
2021-07-28,9.3612
2021-07-27,9.3912
2021-07-26,9.3873
2021-07-23,9.363
2021-07-22,9.3404
2021-07-20,9.327
2021-07-19,9.3766
2021-07-16,9.4088
2021-07-15,9.4163
2021-07-14,9.4426
2021-07-13,9.4652
2021-07-12,9.4911
2021-07-09,9.4619
2021-07-08,9.3961
2021-07-07,9.5403
2021-07-06,9.5981
2021-07-05,9.488
2021-07-02,9.4598
2021-07-01,9.4635
2021-06-30,9.5742
2021-06-29,9.5105
2021-06-28,9.5201
2021-06-25,9.4841
2021-06-24,9.4527
2021-06-23,9.469
2021-06-22,9.4719
2021-06-21,9.4125
2021-06-18,9.3307
2021-06-16,9.3677
2021-06-15,9.328
2021-06-14,9.2461
2021-06-11,9.199
2021-06-10,9.2229
2021-06-09,9.2829
2021-06-08,9.257
2021-06-07,9.3252
2021-06-04,9.3062
2021-06-03,9.2905
2021-06-02,9.2792
2021-06-01,9.3556
2021-05-31,9.3489
2021-05-28,9.3178
2021-05-27,9.2943
2021-05-25,9.2484
2021-05-24,9.2851
2021-05-21,9.3021
2021-05-19,9.2947
2021-05-18,9.3206
2021-05-17,9.2838
2021-05-14,9.2888
2021-05-12,9.2578
2021-05-11,9.3058
2021-05-10,9.2435
2021-05-07,9.2754
2021-05-06,9.2714
2021-05-05,9.2718
2021-05-04,9.3813
2021-05-03,9.3355
2021-04-29,9.4454
2021-04-28,9.4493
2021-04-27,9.4292
2021-04-26,9.4319
2021-04-23,9.4746
2021-04-22,9.7392
2021-04-20,9.7755
2021-04-19,9.7368
2021-04-16,9.9191
2021-04-12,9.5876
2021-04-09,9.4841
2021-04-08,9.4209
2021-04-07,9.5055
2021-04-06,9.4566
2021-04-05,9.4323
2021-04-01,9.5566
2021-03-30,9.5525
2021-03-26,9.527
2021-03-25,9.5104
2021-03-24,9.5353
2021-03-23,9.5306
2021-03-22,9.5272
2021-03-19,9.5744
2021-03-18,9.6164
2021-03-17,9.6953
2021-03-16,9.6961
2021-03-15,9.7063
2021-03-12,9.6717
2021-03-10,9.6492
2021-03-09,9.6554
2021-03-08,9.5717
2021-03-05,9.5777
2021-03-04,9.5788
2021-03-03,9.5809
2021-03-02,9.5508
2021-03-01,9.5316
2021-02-26,9.5649
2021-02-25,9.5545
2021-02-24,9.4606
2021-02-23,9.4765
2021-02-22,9.5461
2021-02-18,9.5068
2021-02-17,9.4096
2021-02-16,9.3858
2021-02-15,9.358
2021-02-12,9.3357
2021-02-11,9.347
2021-02-10,9.3626
2021-02-09,9.3977
2021-02-08,9.3691
2021-02-05,9.3677
2021-02-04,9.2788
2021-02-03,9.3047
2021-02-02,9.3892
2021-02-01,9.4443
2021-01-29,9.1931
2021-01-28,9.1924
2021-01-27,9.237
2021-01-25,9.2452
2021-01-22,9.2363
2021-01-21,9.2373
2021-01-20,9.2031
