Date,call rate
2022-03-11,3.2842
2022-03-10,3.3846
2022-03-09,3.3221
2022-03-08,3.2768
2022-03-04,3.3074
2022-03-03,3.2794
2022-03-02,3.2684
2022-02-25,3.2762
2022-02-24,3.2722
2022-02-23,3.2908
2022-02-22,3.3166
2022-02-18,3.2856
2022-02-17,3.2154
2022-02-16,3.2425
2022-02-15,3.2649
2022-02-11,3.2846
2022-02-10,3.272
2022-02-09,3.2809
2022-02-04,3.3008
2022-02-03,3.2265
2022-02-02,3.2925
2022-02-01,3.2504
2022-01-28,3.5959
2022-01-27,3.6774
2022-01-25,3.6581
2022-01-21,3.9982
2022-01-20,3.9944
2022-01-19,3.6459
2022-01-18,3.6118
2022-01-14,3.4249
2022-01-13,3.2821
2022-01-12,3.3301
2022-01-11,3.3643
2022-01-07,3.2633
2022-01-06,3.2133
2022-01-05,3.2124
2022-01-04,3.2779
2021-12-31,3.3797
2021-12-30,3.3326
2021-12-29,3.281
2021-12-28,3.2545
2021-12-24,3.4188
2021-12-22,3.383
2021-12-21,3.5355
2021-12-17,3.6599
2021-12-16,3.5392
2021-12-15,3.3289
2021-12-14,3.2887
2021-12-10,3.2772
2021-12-09,3.2863
2021-12-08,3.2633
2021-12-07,3.2906
2021-12-03,3.3042
2021-12-02,3.2626
2021-12-01,3.276
2021-11-30,3.2494
2021-11-26,3.2436
2021-11-25,3.2146
2021-11-24,3.2654
2021-11-23,3.3401
2021-11-18,3.4438
2021-11-17,3.2023
2021-11-16,3.1629
2021-11-15,3.192
2021-11-12,3.2077
2021-11-11,3.1886
2021-11-10,3.1956
2021-11-09,3.2442
2021-11-03,3.4279
2021-11-02,3.3347
2021-11-01,3.3088
2021-10-29,3.2623
2021-10-28,3.2431
2021-10-27,3.2804
2021-10-26,3.3293
2021-10-25,3.314
2021-10-22,3.3262
2021-10-21,3.3272
2021-10-20,3.3189
2021-10-18,3.2995
2021-10-14,3.2043
2021-10-13,3.2665
2021-10-12,3.1806
2021-10-11,3.268
2021-10-08,3.2061
2021-10-07,3.1689
2021-10-06,3.1941
2021-10-05,3.1986
2021-10-04,3.2016
2021-10-01,3.2216
2021-09-30,3.3711
2021-10-21,3.3272
2021-10-20,3.3189
2021-10-18,3.2995
2021-10-14,3.2043
2021-10-13,3.2665
2021-10-12,3.1806
2021-10-11,3.268
2021-10-08,3.2061
2021-10-07,3.1689
2021-10-06,3.1941
2021-10-05,3.1986
2021-10-04,3.2016
2021-10-01,3.3711
2021-09-30,3.3711
2021-09-29,3.2468
2021-09-28,3.1874
2021-09-27,3.1533
2021-09-24,3.1542
2021-09-23,3.2238
2021-09-22,3.1646
2021-09-21,3.181
2021-09-20,3.2117
2021-09-17,3.22
2021-09-16,3.1473
2021-09-15,3.1767
2021-09-14,3.1417
2021-09-13,3.1485
2021-09-09,3.1264
2021-09-08,3.1392
2021-09-07,3.1538
2021-09-06,3.1522
2021-09-03,3.1955
2021-09-02,3.1592
2021-09-01,3.1881
2021-08-31,3.1795
2021-08-30,3.2138
2021-08-27,3.1929
2021-08-26,3.2316
2021-08-25,3.1879
2021-08-24,3.1514
2021-08-23,3.2154
