Date,USA VIX (CBOE),India VIX
2022-02-01,27.59,26.74
2022-01-01,24.83,21.9525
2021-12-01,17.22,16.2225
2021-11-01,27.19,21.1675
2021-10-01,16.26,17.425
2021-09-01,23.14,18.4025
2021-08-01,16.48,14.52
2021-07-01,18.24,12.8025
2021-06-01,15.83,13.045
2021-05-01,16.76,16.885
2021-04-01,18.61,23.0275
2021-03-01,19.4,20.645
2021-02-01,27.95,28.1425
2021-01-01,33.09,25.3425
2020-12-01,22.75,21.095
2020-11-01,20.57,19.8175
2020-10-01,38.02,24.7525
2020-09-01,26.37,19.53
2020-08-01,26.41,22.835
2020-07-01,24.46,24.1925
2020-06-01,30.43,29.1175
2020-05-01,27.51,30.22
2020-04-01,34.15,33.9875
2020-03-01,53.54,64.4075
2020-02-01,40.11,23.235
2020-01-01,18.84,17.3675
2019-12-01,13.78,11.6675
2019-11-01,12.62,13.8975
2019-10-01,13.22,16.28
2019-09-01,16.24,15.8725
2019-08-01,18.98,16.2825
2019-07-01,16.12,13.59
2019-06-01,15.08,14.9525
2019-05-01,18.71,16.0675
2019-04-01,13.12,21.8275
2019-03-01,13.71,17.185
2019-02-01,14.78,18.2775
2019-01-01,16.57,17.1225
2018-12-01,25.42,16
2018-11-01,18.07,19.1625
2018-10-01,21.23,19.7975
2018-09-01,12.12,16.995
2018-08-01,12.86,12.5975
2018-07-01,12.83,12.48
2018-06-01,16.09,12.9375
2018-05-01,15.43,13.2225
2018-04-01,15.93,12.3625
2018-03-01,19.97,15.7575
2018-02-01,19.85,13.805
2018-01-01,13.54,15.93
2017-12-01,11.04,12.67
2017-11-01,11.28,13.55
2017-10-01,10.18,12.44
2017-09-01,9.51,12.485
2017-08-01,10.59,11.9525
2017-07-01,10.26,11.9
2017-06-01,11.18,11.7325
2017-05-01,10.41,11.7625
2017-04-01,10.82,10.86
2017-03-01,12.37,12.42
