Date,WTI
2022-02-18,91.07
2022-02-17,91.76
2022-02-16,93.66
2022-02-15,92.07
2022-02-11,93.1
2022-02-10,89.88
2022-02-09,89.66
2022-02-08,89.36
2022-02-04,92.31
2022-02-03,90.27
2022-02-02,88.26
2022-02-01,88.2
2022-01-28,86.82
2022-01-27,86.61
2022-01-26,87.35
2022-01-25,85.6
2022-01-21,85.14
2022-01-20,86.9
2022-01-19,86.96
2022-01-14,83.95
2022-01-13,82.12
2022-01-12,82.64
2022-01-11,81.22
2022-01-07,78.9
2022-01-06,79.46
2022-01-05,77.85
2022-01-04,76.99
2021-12-31,75.21
2021-12-30,76.99
2021-12-29,76.56
2021-12-28,75.98
2021-12-23,73.79
2021-12-22,72.76
2021-12-21,71.12
2021-12-17,70.86
2021-12-16,72.38
2021-12-15,70.87
2021-12-14,70.73
2021-12-10,71.67
2021-12-09,70.94
2021-12-08,72.36
2021-12-07,72.05
2021-12-03,66.26
2021-12-02,66.5
2021-12-01,65.57
2021-11-30,66.18
2021-11-26,68.15
2021-11-24,78.39
2021-11-23,78.5
2021-11-19,76.1
2021-11-18,79.01
2021-11-17,78.36
2021-11-16,80.76
2021-11-15,80.88
2021-11-12,80.79
2021-11-11,81.59
2021-11-10,81.34
2021-11-09,84.15
2021-11-08,81.93
2021-11-05,81.27
2021-11-04,78.81
2021-11-03,80.86
2021-11-02,83.91
2021-11-01,84.05
2021-11-19,77.68
2021-11-18,79.01
2021-11-17,78.36
2021-11-16,80.76
2021-11-15,80.88
2021-11-12,80.4
2021-11-11,81.59
2021-11-10,81.34
2021-11-09,84.15
2021-11-08,81.93
2021-11-05,81.35
2021-11-04,78.81
2021-11-03,80.86
2021-11-02,83.91
2021-11-01,84.05
2021-10-29,81.58
2021-10-28,82.81
2021-10-27,82.66
2021-10-26,84.65
2021-10-25,83.76
2021-10-22,83.76
2021-10-21,82.5
2021-10-20,83.87
2021-10-19,82.96
2021-10-18,82.44
2021-10-15,82.28
2021-10-14,81.31
2021-10-13,80.44
2021-10-12,80.64
2021-10-11,80.52
2021-10-08,79.35
2021-10-07,78.3
2021-10-06,77.43
2021-10-05,78.93
2021-10-04,77.62
2021-10-01,75.88
2021-09-30,75.03
2021-10-22,82.82
2021-10-21,82.5
2021-10-20,83.87
2021-10-19,82.96
2021-10-18,82.44
2021-10-15,82.28
2021-10-14,81.31
2021-10-13,80.44
2021-10-12,80.64
2021-10-11,80.52
2021-10-08,79.02
2021-10-07,78.3
2021-10-06,77.43
2021-10-05,78.93
2021-10-04,77.62
2021-10-01,74.34
2021-09-30,75.03
2021-09-29,74.83
2021-09-28,75.29
2021-09-27,75.45
2021-09-24,73.32
2021-09-23,73.3
2021-09-22,72.23
2021-09-21,70.56
2021-09-20,70.29
2021-09-17,71.95
2021-09-16,72.61
2021-09-15,72.61
2021-09-14,70.46
2021-09-13,70.45
2021-09-10,69.72
2021-09-09,69.02
2021-09-08,69.3
2021-09-07,68.35
2021-09-03,70.28
2021-09-02,69.99
2021-09-01,68.59
2021-08-31,68.5
2021-08-30,69.21
2021-08-27,68.97
2021-08-26,67.42
2021-08-25,68.36
2021-08-24,67.54
